statNm,addr,chgerType,useTime,sido,type_nm,is_24h
낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5,6,24시간 이용가능,서울,초급속,True
서울추모공원,서울특별시 서초구 양재대로12길 74,6,24시간 이용가능,서울,초급속,True
롯데마트 송파점,서울특별시 송파구 중대로 80,6,24시간 이용가능,서울,초급속,True
현대자동차 수색대리점,서울특별시 은평구 수색로 342-1,6,24시간 이용가능,서울,초급속,True
태화빌딩,서울특별시 종로구 인사동5길 29,6,24시간 이용가능,서울,초급속,True
위미의례회관,제주특별자치도 서귀포시 남원읍 중산간동로 6862,6,24시간 이용가능,제주,초급속,True
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,6,24시간 이용가능,제주,초급속,True
표선 의례회관 앞 공영주차장,제주특별자치도 서귀포시 표선면 표선리 2103,6,24시간 이용가능,제주,초급속,True
회수사거리 인근 공영주차장,제주특별자치도 서귀포시 회수동 788-2,6,24시간 이용가능,제주,초급속,True
용암해수산업화지원센터,제주특별자치도 제주시 구좌읍 일주동로 2706-40,6,24시간 이용가능,제주,초급속,True
한국폴리텍대학 제주캠퍼스,제주특별자치도 제주시 산천단 동3길 2,6,24시간 이용가능,제주,초급속,True
제주시 상하수도본부,제주특별자치도 제주시 조천읍 중산간동로 601,6,24시간 이용가능,제주,초급속,True
압해읍사무소,전라남도 신안군 압해읍 학교리 585,6,24시간 이용가능,전라,초급속,True
보은군청앞 스포츠사업단 대형주차장,충청북도 보은군 보은읍 성주리 288-6,6,24시간 이용가능,충청,초급속,True
강화풍물시장 공영주차장,인천광역시 강화군 강화읍 갑곳리 849,6,24시간 이용가능,인천,초급속,True
계산1택지 공영주차장,인천광역시 계양구 계산동 1060,6,24시간 이용가능,인천,초급속,True
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,인천광역시 서구 원삭로 160,6,평일08:30~18:00,인천,초급속,False
영흥수산물직판장 주차장,인천광역시 옹진군 영흥면 내리 8-165,6,24시간 이용가능,인천,초급속,True
도원역 부근 공영주차장,인천광역시 중구 도원동 5-7,6,24시간 이용가능,인천,초급속,True
갈현동 주민센터 주차장,경기도 과천시 갈현동 679,6,24시간 이용가능,경기,초급속,True
남양주 시청,경기도 남양주시 금곡동 185-10,6,24시간 이용가능,경기,초급속,True
갯골생태공원,경기도 시흥시 장곡동 724-32,6,24시간 이용가능,경기,초급속,True
한강유역환경청,경기도 하남시 미사강변 한강로 299,6,07:00~24:00,경기,초급속,False
유승기업(현대블루핸즈),대전광역시 서구 계룡로 510,6,24시간 이용가능,대전,초급속,True
오월드 내 주차장,대전광역시 중구 사정동 142,6,24시간 이용가능,대전,초급속,True
기흥(부산) 휴게소,경기도 용인시 기흥구 공세로 173 (공세동),6,24시간 이용가능,경기,초급속,True
김천(부산) 휴게소,경상북도 김천시 농소면 경부고속도로 193 (신촌리),6,24시간 이용가능,경상,초급속,True
김천(서울) 휴게소,경상북도 김천시 농소면 경부고속도로 194 (신촌리),6,24시간 이용가능,경상,초급속,True
칠곡(부산) 휴게소,경상북도 칠곡군 왜관읍 경부고속도로 159,6,24시간 이용가능,경상,초급속,True
신탄진(서울) 휴게소,대전광역시 대덕구 산업단지로 27 (상서동) 236-1,6,24시간 이용가능,대전,초급속,True
서울만남(부산) 휴게소,서울특별시 서초구 양재대로12길 73-71 (원지동),6,24시간 이용가능,서울,초급속,True
입장거봉포도(서울) 휴게소,충청남도 천안시 서북구 입장면 연곡길 407,6,24시간 이용가능,충청,초급속,True
천안삼거리(서울) 휴게소,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,6,24시간 이용가능,충청,초급속,True
금강(부산) 휴게소,충청북도 옥천군 동이면 금강로 596 (조령리),6,24시간 이용가능,충청,초급속,True
통도사(부산) 휴게소,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),6,24시간 이용가능,경상,초급속,True
옥산(부산) 휴게소,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리),6,24시간 이용가능,충청,초급속,True
옥천만남 휴게소,충청북도 옥천군 옥천읍 중앙로 135 (삼양리),6,24시간 이용가능,충청,초급속,True
음성(남이) 휴게소,충청북도 음성군 삼성면 용성리 산 44,6,24시간 이용가능,충청,초급속,True
죽암(서울) 휴게소,충청북도 청주시 서원구 현도면 경부고속도로 290,6,24시간 이용가능,충청,초급속,True
청주(서울) 휴게소,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리),6,24시간 이용가능,충청,초급속,True
황간(서울) 휴게소,충청북도 영동군 황간면 회포1길 65 (회포리),6,24시간 이용가능,충청,초급속,True
함평천지(서울) 휴게소,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),6,24시간 이용가능,전라,초급속,True
고창고인돌(목포) 휴게소,전북특별자치도 고창군 고창읍 서해안고속도로 81 (벽송리),6,24시간 이용가능,전라,초급속,True
대천(목포) 휴게소,충청남도 보령시 주교면 서해안고속도로 199 (주교리),6,24시간 이용가능,충청,초급속,True
대천(서울) 휴게소,충청남도 보령시 주교면 서해안고속도로 200 (주교리),6,24시간 이용가능,충청,초급속,True
서천(서울) 휴게소,충청남도 서천군 비인면 서해안고속도로 168 (성산리),6,24시간 이용가능,충청,초급속,True
홍성(목포) 휴게소,충청남도 홍성군 은하면 서해안고속도로 221 (금국리),6,24시간 이용가능,충청,초급속,True
이서(순천) 휴게소,전북특별자치도 완주군 이서면 호남고속도로 161 (은교리),6,24시간 이용가능,전라,초급속,True
이서(천안) 휴게소,전북특별자치도 완주군 이서면 호남고속도로 162 (은교리),6,24시간 이용가능,전라,초급속,True
정읍녹두장군(천안) 휴게소,전북특별자치도 정읍시 북면 하북1길 227-17 (남산리),6,24시간 이용가능,전라,초급속,True
정읍녹두장군(순천) 휴게소,전북특별자치도 정읍시 북면 정신로 135-61 (남산리),6,24시간 이용가능,전라,초급속,True
벌곡(논산) 휴게소,충청남도 논산시 호남지선고속도로 25,6,24시간 이용가능,충청,초급속,True
이천(남이) 휴게소,경기도 이천시 마장면 중부대로609번길 244-35 (목리),6,24시간 이용가능,경기,초급속,True
